Material;Texto breve de material;Alm.;CMv;Texto;Ce.coste;Cantidad;Fe.contab.;Tipo Mov.;Consumo según Area;Año Solicitud
42-0010484;TAPA 38 SEGURIDAD GARRAFA 2 LT;0101;959;ESCLUSA DE MP SAS;500210;63,000;07/01/2020;Reservas;Fraccionamiento;2020
42-0010486;TAPA 28 SEGURIDAD GC1/2LT;0101;959;ESCLUSA DE MP SAS;500210;270,000;07/01/2020;Reservas;Fraccionamiento;2020
42-0009885;GARRAFA CUADRADA DE 120 ML;0101;959;I&D QUIMICO NELSON VELA;17050151;700,000;08/01/2020;Reservas;Laboratorios;2020
42-0010490;TAPA 24 GARRAFA CUADRADA 120ML;0101;959;I&D QUIMICO NELSON VELA;17050151;700,000;08/01/2020;Reservas;Laboratorios;2020
42-0012350;PAPELHJUM BCO HS400MT0139X4RLL;0101;959;SUPERVISORES DON VAPOR;500999;60,000;09/01/2020;Reservas;Don Vapor;2020
42-0000699;GARRAFA CUADRADA 2  LT;0101;959;ESCLUSA DE MP SAS;500210;200,000;10/01/2020;Reservas;Fraccionamiento;2020
42-0000700;GARRAFA CUADRADA 1 LT;0101;959;ESCLUSA DE MP SAS;500210;144,000;10/01/2020;Reservas;Fraccionamiento;2020
42-0002398;GARRAFA CUADRADA 4 LITROS;0101;959;ESCLUSA DE MP SAS;500210;150,000;10/01/2020;Reservas;Fraccionamiento;2020
42-0010476;TAPA 38 SEGURIDAD GC1LT;0101;959;ESCLUSA DE MP SAS;500210;144,000;10/01/2020;Reservas;Fraccionamiento;2020
42-0010482;TAPA 38 SEGURIDAD GARRAFA 4 LT;0101;959;ESCLUSA DE MP SAS;500210;150,000;10/01/2020;Reservas;Fraccionamiento;2020
42-0010483;TAPON 38 GARRAFA 4 LITROS;0101;959;ESCLUSA DE MP SAS;500210;300,000;10/01/2020;Reservas;Fraccionamiento;2020
42-0010484;TAPA 38 SEGURIDAD GARRAFA 2 LT;0101;959;ESCLUSA DE MP SAS;500210;200,000;10/01/2020;Reservas;Fraccionamiento;2020
30-0000459;CONTENEDOR PEAD 60 LITROS;0101;957;ESCLUSA DE MP SAS;;12,000;23/04/2021;Reservas;Fraccionamiento;2021
42-0000837;PREFILT 24X24X2 35%  MX 40 205;0101;101;NORMAL;;200,000;14/01/2020;Ingresos;N/A;2020
42-0012350;PAPELHJUM BCO HS400MT0139X4RLL;0101;959;ELSA NIDIA ESQUIVEL - AQE;17080351;4,000;14/01/2020;Reservas;Laboratorios;2020
42-0000699;GARRAFA CUADRADA 2  LT;0101;959;ESCLUSA DE MP SAS;500210;189,000;15/01/2020;Reservas;Fraccionamiento;2020
42-0000700;GARRAFA CUADRADA 1 LT;0101;959;ESCLUSA DE MP SAS;500210;216,000;15/01/2020;Reservas;Fraccionamiento;2020
42-0000714;GARRAFA CUADRADA DE 1/2 LT;0101;959;ESCLUSA DE MP SAS;500210;540,000;15/01/2020;Reservas;Fraccionamiento;2020
42-0002398;GARRAFA CUADRADA 4 LITROS;0101;959;ESCLUSA DE MP SAS;500210;150,000;15/01/2020;Reservas;Fraccionamiento;2020
42-0009885;GARRAFA CUADRADA DE 120 ML;0101;959;ESCLUSA DE MP SAS;500210;700,000;15/01/2020;Reservas;Fraccionamiento;2020
42-0010476;TAPA 38 SEGURIDAD GC1LT;0101;959;ESCLUSA DE MP SAS;500210;216,000;15/01/2020;Reservas;Fraccionamiento;2020
42-0010482;TAPA 38 SEGURIDAD GARRAFA 4 LT;0101;959;ESCLUSA DE MP SAS;500210;150,000;15/01/2020;Reservas;Fraccionamiento;2020
42-0010483;TAPON 38 GARRAFA 4 LITROS;0101;959;ESCLUSA DE MP SAS;500210;300,000;15/01/2020;Reservas;Fraccionamiento;2020
42-0010484;TAPA 38 SEGURIDAD GARRAFA 2 LT;0101;959;ESCLUSA DE MP SAS;500210;189,000;15/01/2020;Reservas;Fraccionamiento;2020
42-0010486;TAPA 28 SEGURIDAD GC1/2LT;0101;959;ESCLUSA DE MP SAS;500210;540,000;15/01/2020;Reservas;Fraccionamiento;2020
42-0010490;TAPA 24 GARRAFA CUADRADA 120ML;0101;959;ESCLUSA DE MP SAS;500210;700,000;15/01/2020;Reservas;Fraccionamiento;2020
42-0000717;FRASCO PLASTICO DE 250 CC;0101;959;FABRICA E&S (EN ESTIBA PLÁSTICA PARA ÁREA BLANCA);500408;100,000;15/01/2020;Reservas;Fab.E&S;2020
42-0010481;TAPA 53 FRASCO DE 250CC;0101;959;FABRICA E&S (EN ESTIBA PLÁSTICA PARA ÁREA BLANCA);500408;100,000;15/01/2020;Reservas;Fab.E&S;2020
42-0000837;PREFILT 24X24X2 35%  MX 40 205;0101;959;ALMACEN REPUESTOS;500202;12,000;15/01/2020;Reservas;Mantenimiento Servicios;2020
42-0002398;GARRAFA CUADRADA 4 LITROS;0101;959;AREA BLANCA FABRICA HOH EXT.1333;500410;10,000;16/01/2020;Reservas;Fab. HoH;2020
42-0010482;TAPA 38 SEGURIDAD GARRAFA 4 LT;0101;959;AREA BLANCA FABRICA HOH EXT.1333;500410;10,000;16/01/2020;Reservas;Fab. HoH;2020
42-0000699;GARRAFA CUADRADA 2  LT;0101;959;ESCLUSA DE MP SAS;500210;126,000;18/01/2020;Reservas;Fraccionamiento;2020
42-0000700;GARRAFA CUADRADA 1 LT;0101;959;ESCLUSA DE MP SAS;500210;144,000;18/01/2020;Reservas;Fraccionamiento;2020
42-0000714;GARRAFA CUADRADA DE 1/2 LT;0101;959;ESCLUSA DE MP SAS;500210;270,000;18/01/2020;Reservas;Fraccionamiento;2020
42-0002398;GARRAFA CUADRADA 4 LITROS;0101;959;ESCLUSA DE MP SAS;500210;120,000;18/01/2020;Reservas;Fraccionamiento;2020
42-0010476;TAPA 38 SEGURIDAD GC1LT;0101;959;ESCLUSA DE MP SAS;500210;144,000;18/01/2020;Reservas;Fraccionamiento;2020
42-0010482;TAPA 38 SEGURIDAD GARRAFA 4 LT;0101;959;ESCLUSA DE MP SAS;500210;120,000;18/01/2020;Reservas;Fraccionamiento;2020
42-0010483;TAPON 38 GARRAFA 4 LITROS;0101;959;ESCLUSA DE MP SAS;500210;210,000;18/01/2020;Reservas;Fraccionamiento;2020
42-0010484;TAPA 38 SEGURIDAD GARRAFA 2 LT;0101;959;ESCLUSA DE MP SAS;500210;126,000;18/01/2020;Reservas;Fraccionamiento;2020
42-0010486;TAPA 28 SEGURIDAD GC1/2LT;0101;959;ESCLUSA DE MP SAS;500210;270,000;18/01/2020;Reservas;Fraccionamiento;2020
42-0000699;GARRAFA CUADRADA 2  LT;0101;959;ESCLUSA DE MP SAS;500210;126,000;21/01/2020;Reservas;Fraccionamiento;2020
42-0000700;GARRAFA CUADRADA 1 LT;0101;959;ESCLUSA DE MP SAS;500210;144,000;21/01/2020;Reservas;Fraccionamiento;2020
42-0002398;GARRAFA CUADRADA 4 LITROS;0101;959;ESCLUSA DE MP SAS;500210;150,000;21/01/2020;Reservas;Fraccionamiento;2020
42-0009885;GARRAFA CUADRADA DE 120 ML;0101;959;ESCLUSA DE MP SAS;500210;700,000;21/01/2020;Reservas;Fraccionamiento;2020
42-0010476;TAPA 38 SEGURIDAD GC1LT;0101;959;ESCLUSA DE MP SAS;500210;144,000;21/01/2020;Reservas;Fraccionamiento;2020
42-0010482;TAPA 38 SEGURIDAD GARRAFA 4 LT;0101;959;ESCLUSA DE MP SAS;500210;150,000;21/01/2020;Reservas;Fraccionamiento;2020
42-0010483;TAPON 38 GARRAFA 4 LITROS;0101;959;ESCLUSA DE MP SAS;500210;10,000;21/01/2020;Reservas;Fraccionamiento;2020
42-0010484;TAPA 38 SEGURIDAD GARRAFA 2 LT;0101;959;ESCLUSA DE MP SAS;500210;126,000;21/01/2020;Reservas;Fraccionamiento;2020
42-0010490;TAPA 24 GARRAFA CUADRADA 120ML;0101;959;ESCLUSA DE MP SAS;500210;700,000;21/01/2020;Reservas;Fraccionamiento;2020
42-0000717;FRASCO PLASTICO DE 250 CC;0101;959;FABRICA E&S (EN ESTIBA PLÁSTICA PARA ÁREA BLANCA);500408;200,000;21/01/2020;Reservas;Fab.E&S;2020
42-0010481;TAPA 53 FRASCO DE 250CC;0101;959;FABRICA E&S (EN ESTIBA PLÁSTICA PARA ÁREA BLANCA);500408;200,000;21/01/2020;Reservas;Fab.E&S;2020
42-0000699;GARRAFA CUADRADA 2  LT;0101;959;I&D QUIMICO NELSON VELA;17050151;50,000;21/01/2020;Reservas;Laboratorios;2020
42-0000700;GARRAFA CUADRADA 1 LT;0101;959;I&D QUIMICO NELSON VELA;17050151;72,000;21/01/2020;Reservas;Laboratorios;2020
42-0002398;GARRAFA CUADRADA 4 LITROS;0101;959;I&D QUIMICO NELSON VELA;17050151;30,000;21/01/2020;Reservas;Laboratorios;2020
42-0010476;TAPA 38 SEGURIDAD GC1LT;0101;959;I&D QUIMICO NELSON VELA;17050151;72,000;21/01/2020;Reservas;Laboratorios;2020
42-0010477;TAPA 123 TARRO DE 2LT;0101;959;I&D QUIMICO NELSON VELA;17050151;40,000;21/01/2020;Reservas;Laboratorios;2020
42-0010482;TAPA 38 SEGURIDAD GARRAFA 4 LT;0101;959;I&D QUIMICO NELSON VELA;17050151;30,000;21/01/2020;Reservas;Laboratorios;2020
42-0010484;TAPA 38 SEGURIDAD GARRAFA 2 LT;0101;959;I&D QUIMICO NELSON VELA;17050151;50,000;21/01/2020;Reservas;Laboratorios;2020
42-0012711;TAPA 86 TARRO EN P.E. DE 1 LT;0101;959;I&D QUIMICO NELSON VELA;17050151;125,000;21/01/2020;Reservas;Laboratorios;2020
42-0012350;PAPELHJUM BCO HS400MT0139X4RLL;0101;959;SUPERVISORES DON VAPOR;500999;50,000;21/01/2020;Reservas;Don Vapor;2020
42-0000837;PREFILT 24X24X2 35%  MX 40 205;0101;959;E PALACIO;500202;24,000;22/01/2020;Reservas;Mantenimiento Servicios;2020
42-0007974;"12X24X2"" EFF: 30-35%";0101;959;E PALACIO;500202;24,000;22/01/2020;Reservas;Mantenimiento Servicios;2020
42-0000717;FRASCO PLASTICO DE 250 CC;0101;959;FABRICA E&S (EN ESTIBA PLÁSTICA PARA ÁREA BLANCA);500408;112,000;22/01/2020;Reservas;Fab.E&S;2020
42-0010481;TAPA 53 FRASCO DE 250CC;0101;959;FABRICA E&S (EN ESTIBA PLÁSTICA PARA ÁREA BLANCA);500408;112,000;22/01/2020;Reservas;Fab.E&S;2020
42-0012350;PAPELHJUM BCO HS400MT0139X4RLL;0101;959;SUPERVISORES DON VAPOR;14010151;80,000;24/01/2020;Reservas;Don Vapor;2020
42-0000699;GARRAFA CUADRADA 2  LT;0101;959;ESCLUSA DE MP SAS;500210;150,000;24/01/2020;Reservas;Fraccionamiento;2020
42-0000700;GARRAFA CUADRADA 1 LT;0101;959;ESCLUSA DE MP SAS;500210;144,000;24/01/2020;Reservas;Fraccionamiento;2020
42-0000714;GARRAFA CUADRADA DE 1/2 LT;0101;959;ESCLUSA DE MP SAS;500210;270,000;24/01/2020;Reservas;Fraccionamiento;2020
42-0002398;GARRAFA CUADRADA 4 LITROS;0101;959;ESCLUSA DE MP SAS;500210;150,000;24/01/2020;Reservas;Fraccionamiento;2020
42-0010476;TAPA 38 SEGURIDAD GC1LT;0101;959;ESCLUSA DE MP SAS;500210;144,000;24/01/2020;Reservas;Fraccionamiento;2020
42-0010482;TAPA 38 SEGURIDAD GARRAFA 4 LT;0101;959;ESCLUSA DE MP SAS;500210;150,000;24/01/2020;Reservas;Fraccionamiento;2020
42-0010484;TAPA 38 SEGURIDAD GARRAFA 2 LT;0101;959;ESCLUSA DE MP SAS;500210;150,000;24/01/2020;Reservas;Fraccionamiento;2020
42-0010486;TAPA 28 SEGURIDAD GC1/2LT;0101;959;ESCLUSA DE MP SAS;500210;270,000;24/01/2020;Reservas;Fraccionamiento;2020
30-0000459;CONTENEDOR PEAD 60 LITROS;0101;957;ESCLUSA DE MP SAS;;12,000;28/04/2021;Reservas;Fraccionamiento;2021
30-0000459;CONTENEDOR PEAD 60 LITROS;0101;957;ESCLUSA DE MP SAS;;12,000;04/05/2021;Reservas;Fraccionamiento;2021
42-0012350;PAPELHJUM BCO HS400MT0139X4RLL;0101;959;SUPERVISORES DON VAPOR;500999;50,000;28/01/2020;Reservas;Don Vapor;2020
42-0000704;TARRO EN P.E. DE 1 LT;0101;959;I&D QUIMICO NELSON VELA;17050151;125,000;28/01/2020;Reservas;Laboratorios;2020
42-0010483;TAPON 38 GARRAFA 4 LITROS;0101;101;NORMAL;;1.620,000;28/01/2020;Ingresos;N/A;2020
42-0010480;TAPA 53 FRASCO DE 120CC;0101;101;NORMAL;;2.100,000;28/01/2020;Ingresos;N/A;2020
42-0010480;TAPA 53 FRASCO DE 120CC;0101;101;NORMAL;;2.100,000;28/01/2020;Ingresos;N/A;2020
42-0000716;FRASCO PLASTICO DE 120 CC;0101;101;NORMAL;;700,000;28/01/2020;Ingresos;N/A;2020
42-0000716;FRASCO PLASTICO DE 120 CC;0101;101;NORMAL;;2.100,000;28/01/2020;Ingresos;N/A;2020
42-0000699;GARRAFA CUADRADA 2  LT;0101;959;ESCLUSA DE MP SAS;500210;150,000;29/01/2020;Reservas;Fraccionamiento;2020
42-0000700;GARRAFA CUADRADA 1 LT;0101;959;ESCLUSA DE MP SAS;500210;216,000;29/01/2020;Reservas;Fraccionamiento;2020
42-0000714;GARRAFA CUADRADA DE 1/2 LT;0101;959;ESCLUSA DE MP SAS;500210;270,000;29/01/2020;Reservas;Fraccionamiento;2020
42-0002398;GARRAFA CUADRADA 4 LITROS;0101;959;ESCLUSA DE MP SAS;500210;150,000;29/01/2020;Reservas;Fraccionamiento;2020
42-0009885;GARRAFA CUADRADA DE 120 ML;0101;959;ESCLUSA DE MP SAS;500210;700,000;29/01/2020;Reservas;Fraccionamiento;2020
42-0010476;TAPA 38 SEGURIDAD GC1LT;0101;959;ESCLUSA DE MP SAS;500210;216,000;29/01/2020;Reservas;Fraccionamiento;2020
42-0010482;TAPA 38 SEGURIDAD GARRAFA 4 LT;0101;959;ESCLUSA DE MP SAS;500210;150,000;29/01/2020;Reservas;Fraccionamiento;2020
42-0010483;TAPON 38 GARRAFA 4 LITROS;0101;959;ESCLUSA DE MP SAS;500210;300,000;29/01/2020;Reservas;Fraccionamiento;2020
42-0010484;TAPA 38 SEGURIDAD GARRAFA 2 LT;0101;959;ESCLUSA DE MP SAS;500210;150,000;29/01/2020;Reservas;Fraccionamiento;2020
42-0010486;TAPA 28 SEGURIDAD GC1/2LT;0101;959;ESCLUSA DE MP SAS;500210;270,000;29/01/2020;Reservas;Fraccionamiento;2020
42-0010490;TAPA 24 GARRAFA CUADRADA 120ML;0101;959;ESCLUSA DE MP SAS;500210;700,000;29/01/2020;Reservas;Fraccionamiento;2020
42-0007974;"12X24X2"" EFF: 30-35%";0101;959;JSALAMANCA/ TECNICOS SERVICIOS;500202;12,000;30/01/2020;Reservas;Mantenimiento Servicios;2020
42-0000836;FILTRO VARIFLOW 24 X 24 X4 65%;0101;959;ALMACEN REPUESTOS- JSALAMANCA;500202;12,000;30/01/2020;Reservas;Mantenimiento Servicios;2020
42-0000837;PREFILT 24X24X2 35%  MX 40 205;0101;959;ALMACEN REPUESTOS- JSALAMANCA;500202;60,000;30/01/2020;Reservas;Mantenimiento Servicios;2020
42-0000699;GARRAFA CUADRADA 2  LT;0101;959;ESCLUSA DE MP SAS;500210;100,000;31/01/2020;Reservas;Fraccionamiento;2020
42-0000700;GARRAFA CUADRADA 1 LT;0101;959;ESCLUSA DE MP SAS;500210;216,000;31/01/2020;Reservas;Fraccionamiento;2020
42-0002398;GARRAFA CUADRADA 4 LITROS;0101;959;ESCLUSA DE MP SAS;500210;60,000;31/01/2020;Reservas;Fraccionamiento;2020
42-0010476;TAPA 38 SEGURIDAD GC1LT;0101;959;ESCLUSA DE MP SAS;500210;216,000;31/01/2020;Reservas;Fraccionamiento;2020
42-0010482;TAPA 38 SEGURIDAD GARRAFA 4 LT;0101;959;ESCLUSA DE MP SAS;500210;60,000;31/01/2020;Reservas;Fraccionamiento;2020
42-0010483;TAPON 38 GARRAFA 4 LITROS;0101;959;ESCLUSA DE MP SAS;500210;120,000;31/01/2020;Reservas;Fraccionamiento;2020
42-0010484;TAPA 38 SEGURIDAD GARRAFA 2 LT;0101;959;ESCLUSA DE MP SAS;500210;100,000;31/01/2020;Reservas;Fraccionamiento;2020
30-0000459;CONTENEDOR PEAD 60 LITROS;0101;957;ESCLUSA DE MP SAS;;24,000;11/05/2021;Reservas;Fraccionamiento;2021
42-0000716;FRASCO PLASTICO DE 120 CC;0101;959;AREA DE MUESTREO M.P.;500205;312,000;03/02/2020;Reservas;Muestreo Mp;2020
42-0000717;FRASCO PLASTICO DE 250 CC;0101;959;AREA DE MUESTREO M.P.;500205;312,000;03/02/2020;Reservas;Muestreo Mp;2020
42-0010480;TAPA 53 FRASCO DE 120CC;0101;959;AREA DE MUESTREO M.P.;500205;312,000;03/02/2020;Reservas;Muestreo Mp;2020
42-0010481;TAPA 53 FRASCO DE 250CC;0101;959;AREA DE MUESTREO M.P.;500205;312,000;03/02/2020;Reservas;Muestreo Mp;2020
42-0000837;PREFILT 24X24X2 35%  MX 40 205;0101;959;ALMACEN REPUESTOS-JAIRO VELANDIA;500202;12,000;04/02/2020;Reservas;Mantenimiento Servicios;2020
42-0000699;GARRAFA CUADRADA 2  LT;0101;959;ESCLUSA DE MP SAS;500210;100,000;04/02/2020;Reservas;Fraccionamiento;2020
42-0000700;GARRAFA CUADRADA 1 LT;0101;959;ESCLUSA DE MP SAS;500210;144,000;04/02/2020;Reservas;Fraccionamiento;2020
42-0000714;GARRAFA CUADRADA DE 1/2 LT;0101;959;ESCLUSA DE MP SAS;500210;270,000;04/02/2020;Reservas;Fraccionamiento;2020
42-0002398;GARRAFA CUADRADA 4 LITROS;0101;959;ESCLUSA DE MP SAS;500210;90,000;04/02/2020;Reservas;Fraccionamiento;2020
42-0010476;TAPA 38 SEGURIDAD GC1LT;0101;959;ESCLUSA DE MP SAS;500210;144,000;04/02/2020;Reservas;Fraccionamiento;2020
42-0010482;TAPA 38 SEGURIDAD GARRAFA 4 LT;0101;959;ESCLUSA DE MP SAS;500210;90,000;04/02/2020;Reservas;Fraccionamiento;2020
42-0010483;TAPON 38 GARRAFA 4 LITROS;0101;959;ESCLUSA DE MP SAS;500210;120,000;04/02/2020;Reservas;Fraccionamiento;2020
42-0010484;TAPA 38 SEGURIDAD GARRAFA 2 LT;0101;959;ESCLUSA DE MP SAS;500210;100,000;04/02/2020;Reservas;Fraccionamiento;2020
42-0010486;TAPA 28 SEGURIDAD GC1/2LT;0101;959;ESCLUSA DE MP SAS;500210;270,000;04/02/2020;Reservas;Fraccionamiento;2020
42-0000699;GARRAFA CUADRADA 2  LT;0101;959;ESCLUSA DE MP SAS;500210;150,000;07/02/2020;Reservas;Fraccionamiento;2020
42-0000700;GARRAFA CUADRADA 1 LT;0101;959;ESCLUSA DE MP SAS;500210;144,000;07/02/2020;Reservas;Fraccionamiento;2020
42-0000714;GARRAFA CUADRADA DE 1/2 LT;0101;959;ESCLUSA DE MP SAS;500210;270,000;07/02/2020;Reservas;Fraccionamiento;2020
42-0000716;FRASCO PLASTICO DE 120 CC;0101;959;ESCLUSA DE MP SAS;500210;700,000;07/02/2020;Reservas;Fraccionamiento;2020
42-0002398;GARRAFA CUADRADA 4 LITROS;0101;959;ESCLUSA DE MP SAS;500210;150,000;07/02/2020;Reservas;Fraccionamiento;2020
42-0009885;GARRAFA CUADRADA DE 120 ML;0101;959;ESCLUSA DE MP SAS;500210;700,000;07/02/2020;Reservas;Fraccionamiento;2020
42-0010476;TAPA 38 SEGURIDAD GC1LT;0101;959;ESCLUSA DE MP SAS;500210;144,000;07/02/2020;Reservas;Fraccionamiento;2020
42-0010480;TAPA 53 FRASCO DE 120CC;0101;959;ESCLUSA DE MP SAS;500210;700,000;07/02/2020;Reservas;Fraccionamiento;2020
42-0010482;TAPA 38 SEGURIDAD GARRAFA 4 LT;0101;959;ESCLUSA DE MP SAS;500210;150,000;07/02/2020;Reservas;Fraccionamiento;2020
42-0010483;TAPON 38 GARRAFA 4 LITROS;0101;959;ESCLUSA DE MP SAS;500210;150,000;07/02/2020;Reservas;Fraccionamiento;2020
42-0010484;TAPA 38 SEGURIDAD GARRAFA 2 LT;0101;959;ESCLUSA DE MP SAS;500210;150,000;07/02/2020;Reservas;Fraccionamiento;2020
42-0010486;TAPA 28 SEGURIDAD GC1/2LT;0101;959;ESCLUSA DE MP SAS;500210;270,000;07/02/2020;Reservas;Fraccionamiento;2020
42-0010490;TAPA 24 GARRAFA CUADRADA 120ML;0101;959;ESCLUSA DE MP SAS;500210;700,000;07/02/2020;Reservas;Fraccionamiento;2020
30-0000459;CONTENEDOR PEAD 60 LITROS;0101;957;ESCLUSA DE MP SAS;;12,000;18/05/2021;Reservas;Fraccionamiento;2021
42-0000837;PREFILT 24X24X2 35%  MX 40 205;0101;959;ALMACEN REPUESTOS / J SALAMANCA;500202;60,000;10/02/2020;Reservas;Mantenimiento Servicios;2020
30-0000459;CONTENEDOR PEAD 60 LITROS;0101;957;ESCLUSA DE MP SAS;;24,000;25/05/2021;Reservas;Fraccionamiento;2021
42-0007974;"12X24X2"" EFF: 30-35%";0101;959;JSALAMANCA/ TECNICOS SERVICIOS;500202;24,000;11/02/2020;Reservas;Mantenimiento Servicios;2020
42-0000837;PREFILT 24X24X2 35%  MX 40 205;0101;959;ALMACEN REPUESTOS;500202;24,000;11/02/2020;Reservas;Mantenimiento Servicios;2020
42-0000699;GARRAFA CUADRADA 2  LT;0101;959;ESCLUSA DE MP SAS;500210;200,000;11/02/2020;Reservas;Fraccionamiento;2020
42-0000700;GARRAFA CUADRADA 1 LT;0101;959;ESCLUSA DE MP SAS;500210;216,000;11/02/2020;Reservas;Fraccionamiento;2020
42-0000714;GARRAFA CUADRADA DE 1/2 LT;0101;959;ESCLUSA DE MP SAS;500210;270,000;11/02/2020;Reservas;Fraccionamiento;2020
42-0002398;GARRAFA CUADRADA 4 LITROS;0101;959;ESCLUSA DE MP SAS;500210;108,000;11/02/2020;Reservas;Fraccionamiento;2020
42-0009885;GARRAFA CUADRADA DE 120 ML;0101;959;ESCLUSA DE MP SAS;500210;700,000;11/02/2020;Reservas;Fraccionamiento;2020
42-0010476;TAPA 38 SEGURIDAD GC1LT;0101;959;ESCLUSA DE MP SAS;500210;216,000;11/02/2020;Reservas;Fraccionamiento;2020
42-0010482;TAPA 38 SEGURIDAD GARRAFA 4 LT;0101;959;ESCLUSA DE MP SAS;500210;120,000;11/02/2020;Reservas;Fraccionamiento;2020
42-0010483;TAPON 38 GARRAFA 4 LITROS;0101;959;ESCLUSA DE MP SAS;500210;120,000;11/02/2020;Reservas;Fraccionamiento;2020
42-0010484;TAPA 38 SEGURIDAD GARRAFA 2 LT;0101;959;ESCLUSA DE MP SAS;500210;200,000;11/02/2020;Reservas;Fraccionamiento;2020
42-0010486;TAPA 28 SEGURIDAD GC1/2LT;0101;959;ESCLUSA DE MP SAS;500210;270,000;11/02/2020;Reservas;Fraccionamiento;2020
42-0010490;TAPA 24 GARRAFA CUADRADA 120ML;0101;959;ESCLUSA DE MP SAS;500210;1.000,000;11/02/2020;Reservas;Fraccionamiento;2020
42-0010490;TAPA 24 GARRAFA CUADRADA 120ML;0101;959;ESCLUSA DE MP SAS;500210;400,000;11/02/2020;Reservas;Fraccionamiento;2020
